MAL_ID,Name,MAL Score,English name,Type,Episodes,Studios,Source,Duration,Rating,Year,Stats Score,Action,Comedy,Drama,Fantasy,Historical,Horror,Kids,Magic,Music,Parody,Romance,School,Sci-Fi,Shoujo,Shoujo Ai,Shounen,Shounen Ai,Slice of Life
27575,Spy Gekimetsu,0,Unknown,Movie,1,Unknown,Original,12,G - All Ages,1942,5.87,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
28067,Kyouryoku Boukuusen,5.1,Unknown,Movie,1,Unknown,Original,10,G - All Ages,1942,4.42,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
3990,Kumo to Tulip,5.73,The Spider and the Tulip,Movie,1,Shochiku Animation Institute,Picture book,14,G - All Ages,1943,5.69,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6857,Momotarou no Umiwashi,5,Momotaro's Sea Eagles,Movie,1,Unknown,Original,36,G - All Ages,1943,4.79,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0
23971,Fuku-chan no Zousan Butai,0,Unknown,Movie,1,Shochiku Animation Institute,Other,11,G - All Ages,1943,5.46,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
29782,Malay Oki Kaisen,5.45,The Battle of the Malay Sea,Movie,1,Unknown,Original,26,G - All Ages,1943,4.64,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
7523,Fuku-chan no Sensuikan,5.05,Unknown,Movie,1,Asahi Production#Shochiku Animation Institute,Other,30,G - All Ages,1944,4.66,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
7524,Mahou no Pen,5.59,Unknown,Movie,1,Unknown,Original,10,G - All Ages,1946,5.07,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
15455,Sakura,5.32,Unknown,Movie,1,Unknown,Unknown,8,G - All Ages,1946,5.01,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
28053,Kumo no Ito,5.51,Spider Silk,Movie,1,Unknown,Unknown,10,G - All Ages,1946,5.29,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5662,Suteneko Tora-chan,5.76,Unknown,Movie,1,Unknown,Original,20,G - All Ages,1947,5.69,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
28055,Yuki no Yoru no Yume,5.5,Dream of a Snowy Night,Movie,1,Unknown,Unknown,8,G - All Ages,1947,4.89,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
29895,Muku no Ki no Hanashi,0,Unknown,Movie,1,Unknown,Original,20,G - All Ages,1947,4.94,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
6846,Kuma ni Kuwarenu Otoko,5.16,The Bear Dodger,Movie,1,Unknown,Original,9,G - All Ages,1948,4.8,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
