name,especie,era,country,diet,type,superorder,order,suborder,clade
pantydraco,caducus,Jurassic,Wales,herbivorous,euornithopod,Dinosauria,Ornithischia,Genasauria,Thyreophora
paralititan,stromeri,Cretaceous,Egypt,herbivorous,sauropod,Dinosauria,Saurischia,Sauropodomorpha,Sauropoda
parasaurolophus,walkeri,Cretaceous,USA,herbivorous,euornithopod,Dinosauria,Ornithischia,Ornithopoda,Ankylopollexia
patagosaurus,fariasi,Jurassic,Argentina,herbivorous,sauropod,Dinosauria,Saurischia,Sauropodomorpha,Sauropoda
pelicanimimus,polyodon,Cretaceous,Spain,carnivorous,small theropod,Dinosauria,Saurischia,Theropoda,Coelurosauria
pelorosaurus,conybearei,Cretaceous,United Kingdom,herbivorous,sauropod,Dinosauria,Saurischia,Sauropodomorpha,Sauropoda
pentaceratops,sternbergi,Cretaceous,USA,herbivorous,ceratopsian,Dinosauria,Ornithischia,Marginocephalia,Ceratopsia
pinacosaurus,grangeri,Cretaceous,Mongolia,herbivorous,armoured dinosaur,Dinosauria,Ornithischia,Genasauria,Thyreophora
plateosaurus,engelhardti,Triassic,Switzerland,herbivorous,sauropod,Dinosauria,Saurischia,Sauropodomorpha,Prosauropoda
podokesaurus,holyokensis,Jurassic,USA,carnivorous,small theropod,Dinosauria,Saurischia,Theropoda,Coelophysoidea
polacanthus,foxii,Cretaceous,United Kingdom,herbivorous,armoured dinosaur,Dinosauria,Ornithischia,Genasauria,Thyreophora
prenocephale,prenes,Cretaceous,Mongolia,herbivorous,euornithopod,Dinosauria,Ornithischia,Marginocephalia,Pachycephalosauria
probactrosaurus,gobiensis,Cretaceous,China,herbivorous,euornithopod,Dinosauria,Ornithischia,Ornithopoda,Ankylopollexia
proceratosaurus,bradleyi,Jurassic,United Kingdom,carnivorous,small theropod,Dinosauria,Saurischia,Theropoda,Coelurosauria
procompsognathus,triassicus,Triassic,Germany,carnivorous,small theropod,Dinosauria,Saurischia,Theropoda,Coelophysoidea
prosaurolophus,maximus,Cretaceous,USA,herbivorous,euornithopod,Dinosauria,Ornithischia,Ornithopoda,Ankylopollexia
protarchaeopteryx,robusta,Cretaceous,China,carnivorous,small theropod,Dinosauria,Saurischia,Theropoda,Coelurosauria
protoceratops,andrewsi,Cretaceous,Mongolia,herbivorous,ceratopsian,Dinosauria,Ornithischia,Marginocephalia,Ceratopsia
protohadros,byrdi,Cretaceous,USA,herbivorous,euornithopod,Dinosauria,Ornithischia,Ornithopoda,Ankylopollexia
psittacosaurus,mongoliensis,Cretaceous,Russia,herbivorous,ceratopsian,Dinosauria,Ornithischia,Marginocephalia,Ceratopsia
quaesitosaurus,orientalis,Cretaceous,Mongolia,herbivorous,sauropod,Dinosauria,Saurischia,Sauropodomorpha,Sauropoda
rebbachisaurus,garasbae,Cretaceous,Morocco,herbivorous,sauropod,Dinosauria,Saurischia,Sauropodomorpha,Sauropoda
rhoetosaurus,brownei,Jurassic,Australia,herbivorous,sauropod,Dinosauria,Saurischia,Sauropodomorpha,Sauropoda
rinchenia,mongoliensis,Cretaceous,Mongolia,omnivorous,small theropod,Dinosauria,Saurischia,Theropoda,Coelurosauria
riojasaurus,incertus,Triassic,Argentina,herbivorous/omnivorous,sauropod,Dinosauria,Saurischia,Sauropodomorpha,Prosauropoda
rugops,primus,Cretaceous,Niger,carnivorous,large theropod,Dinosauria,Saurischia,Theropoda,Ceratosauria
saichania,chulsanensis,Cretaceous,Mongolia,herbivorous,armoured dinosaur,Dinosauria,Ornithischia,Genasauria,Thyreophora
